Id,Top-Left,Bottom-Right,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box
0,"(290, 85)","(435, 147)","(362.5, 85)","(362.5, 147)","(290, 116.0)","(435, 116.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
1,"(563, 82)","(730, 147)","(646.5, 82)","(646.5, 147)","(563, 114.5)","(730, 114.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
2,"(744, 92)","(940, 140)","(842.0, 92)","(842.0, 140)","(744, 116.0)","(940, 116.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
3,"(1163, 92)","(1184, 147)","(1173.5, 92)","(1173.5, 147)","(1163, 119.5)","(1184, 119.5)","[107.51046460693954, 5]","[107.51046460693954, 5]","[-1, 0]","[-1, 0]"
4,"(1218, 79)","(1344, 157)","(1281.0, 79)","(1281.0, 157)","(1218, 118.0)","(1344, 118.0)","[107.51046460693954, 4]","[107.51046460693954, 4]","[-1, 0]","[-1, 0]"
5,"(1385, 92)","(1511, 144)","(1448.0, 92)","(1448.0, 144)","(1385, 118.0)","(1511, 118.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
6,"(1646, 79)","(1813, 154)","(1729.5, 79)","(1729.5, 154)","(1646, 116.5)","(1813, 116.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
7,"(1834, 79)","(1897, 140)","(1865.5, 79)","(1865.5, 140)","(1834, 109.5)","(1897, 109.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
8,"(1907, 82)","(1994, 137)","(1950.5, 82)","(1950.5, 137)","(1907, 109.5)","(1994, 109.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
9,"(2127, 89)","(2195, 144)","(2161.0, 89)","(2161.0, 144)","(2127, 116.5)","(2195, 116.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
10,"(406, 208)","(488, 280)","(447.0, 208)","(447.0, 280)","(406, 244.0)","(488, 244.0)","[76.69745758498127, 14]","[-1, 0]","[76.69745758498127, 14]","[76.69745758498127, 14]"
11,"(508, 212)","(679, 287)","(593.5, 212)","(593.5, 287)","(508, 249.5)","(679, 249.5)","[83.06924822098729, 15]","[-1, 0]","[83.06924822098729, 15]","[83.06924822098729, 15]"
12,"(305, 287)","(348, 352)","(326.5, 287)","(326.5, 352)","(305, 319.5)","(348, 319.5)","[92.71596410543332, 18]","[-1, 0]","[92.71596410543332, 18]","[92.71596410543332, 18]"
13,"(384, 287)","(537, 352)","(460.5, 287)","(460.5, 352)","(384, 319.5)","(537, 319.5)","[119.26546021376012, 18]","[76.69745758498127, 11]","[76.69745758498127, 11]","[76.69745758498127, 11]"
14,"(573, 294)","(655, 366)","(614.0, 294)","(614.0, 366)","(573, 330.0)","(655, 330.0)","[97.9247159812067, 20]","[83.06924822098729, 12]","[83.06924822098729, 12]","[83.06924822098729, 12]"
15,"(696, 294)","(807, 359)","(751.5, 294)","(751.5, 359)","(696, 326.5)","(807, 326.5)","[87.51714117817149, 21]","[123.67093433786292, 17]","[87.51714117817149, 21]","[87.51714117817149, 21]"
16,"(844, 304)","(906, 362)","(875.0, 304)","(875.0, 362)","(844, 333.0)","(906, 333.0)","[106.51877768731671, 22]","[123.67093433786292, 16]","[-1, 0]","[-1, 0]"
17,"(305, 369)","(440, 431)","(372.5, 369)","(372.5, 431)","(305, 400.0)","(440, 400.0)","[88.9508291136176, 25]","[92.71596410543332, 13]","[88.9508291136176, 25]","[88.9508291136176, 25]"
18,"(462, 373)","(628, 438)","(545.0, 373)","(545.0, 438)","(462, 405.5)","(628, 405.5)","[86.88498144098322, 26]","[102.28025224841792, 15]","[86.88498144098322, 26]","[86.88498144098322, 26]"
19,"(650, 373)","(699, 441)","(674.5, 373)","(674.5, 441)","(650, 407.0)","(699, 407.0)","[67.8122407829147, 21]","[67.8122407829147, 21]","[67.8122407829147, 21]","[80.15609770940699, 27]"
20,"(718, 376)","(766, 451)","(742.0, 376)","(742.0, 451)","(718, 413.5)","(766, 413.5)","[67.59067983087608, 22]","[67.59067983087608, 22]","[67.59067983087608, 22]","[67.8122407829147, 20]"
21,"(788, 383)","(831, 451)","(809.5, 383)","(809.5, 451)","(788, 417.0)","(831, 417.0)","[67.59067983087608, 21]","[67.59067983087608, 21]","[80.4114419718985, 28]","[67.59067983087608, 21]"
22,"(853, 379)","(1078, 455)","(965.5, 379)","(965.5, 455)","(853, 417.0)","(1078, 417.0)","[-1, 0]","[119.86763533164405, 39]","[-1, 0]","[-1, 0]"
23,"(1100, 373)","(1146, 438)","(1123.0, 373)","(1123.0, 438)","(1100, 405.5)","(1146, 405.5)","[99.8611536083977, 31]","[84.77027781009096, 40]","[84.77027781009096, 40]","[84.77027781009096, 40]"
